Epoch: 0, Loss: 0.05799011484836228, Learning rate: [0.005], Start:17:13:01.958292 - End:17:14:40.885796, Prediction: [0.06667299568653107].
Epoch: 1, Loss: 0.021409863410517573, Learning rate: [0.005], Start:17:14:40.886794 - End:17:15:50.941493, Prediction: [0.1614234745502472].
Epoch: 2, Loss: 0.016599789953324944, Learning rate: [0.005], Start:17:15:50.942491 - End:17:17:01.071990, Prediction: [0.18874956667423248].
Epoch: 3, Loss: 0.01729748956626281, Learning rate: [0.005], Start:17:17:01.071990 - End:17:18:11.635330, Prediction: [0.21741032600402832].
Epoch: 4, Loss: 0.018576603506226093, Learning rate: [0.005], Start:17:18:11.635330 - End:17:19:21.998205, Prediction: [0.22705881297588348].
Epoch: 5, Loss: 0.016585771982790903, Learning rate: [0.005], Start:17:19:22.004189 - End:17:20:32.479764, Prediction: [0.3045460283756256].
Epoch: 6, Loss: 0.018138496538158508, Learning rate: [0.005], Start:17:20:32.480761 - End:17:21:43.346293, Prediction: [0.36457377672195435].
Epoch: 7, Loss: 0.014157401296251919, Learning rate: [0.005], Start:17:21:43.347290 - End:17:22:53.622400, Prediction: [0.3298414647579193].
Epoch: 8, Loss: 0.016669211614644155, Learning rate: [0.005], Start:17:22:53.623399 - End:17:24:03.963334, Prediction: [0.3681385815143585].
Epoch: 9, Loss: 0.017121658086543902, Learning rate: [0.005], Start:17:24:03.964332 - End:17:25:14.652338, Prediction: [0.3321261703968048].
Epoch: 10, Loss: 0.01150916095415596, Learning rate: [0.005], Start:17:25:14.652338 - End:17:26:25.457033, Prediction: [0.26584920287132263].
Epoch: 11, Loss: 0.015349729239242152, Learning rate: [0.005], Start:17:26:25.457033 - End:17:27:35.967513, Prediction: [0.3569915294647217].
Epoch: 12, Loss: 0.01784282807377167, Learning rate: [0.005], Start:17:27:35.968511 - End:17:28:46.608645, Prediction: [0.3944096267223358].
Epoch: 13, Loss: 0.012528715018415824, Learning rate: [0.00475], Start:17:28:46.609642 - End:17:29:56.829899, Prediction: [0.40469637513160706].
Epoch: 14, Loss: 0.014820354402181692, Learning rate: [0.00475], Start:17:29:56.829899 - End:17:31:07.218705, Prediction: [0.40080875158309937].
Epoch: 15, Loss: 0.017787860406097023, Learning rate: [0.00475], Start:17:31:07.219703 - End:17:32:17.707245, Prediction: [0.43987730145454407].
Epoch: 16, Loss: 0.015634797525126486, Learning rate: [0.0045125], Start:17:32:17.708243 - End:17:33:30.291307, Prediction: [0.43499132990837097].
Epoch: 17, Loss: 0.015797261158004405, Learning rate: [0.0045125], Start:17:33:30.291307 - End:17:34:40.966372, Prediction: [0.5201023817062378].
Epoch: 18, Loss: 0.012996833646902815, Learning rate: [0.0045125], Start:17:34:40.967369 - End:17:35:51.771066, Prediction: [0.5246995687484741].
Epoch: 19, Loss: 0.014241036636231002, Learning rate: [0.004286875], Start:17:35:51.772063 - End:17:37:04.944510, Prediction: [0.5491862893104553].
Epoch: 20, Loss: 0.01601582237170078, Learning rate: [0.004286875], Start:17:37:04.945507 - End:17:38:18.381786, Prediction: [0.5554551482200623].
Epoch: 21, Loss: 0.011215466866560745, Learning rate: [0.004286875], Start:17:38:18.382784 - End:17:42:24.675560, Prediction: [0.601162850856781].
Epoch: 22, Loss: 0.01322850511991419, Learning rate: [0.004286875], Start:17:42:24.677556 - End:17:46:45.900575, Prediction: [0.5492109656333923].
Epoch: 23, Loss: 0.016260701889405028, Learning rate: [0.004286875], Start:17:46:45.900575 - End:17:50:59.624164, Prediction: [0.5070861577987671].
Epoch: 24, Loss: 0.01591500443581026, Learning rate: [0.00407253125], Start:17:50:59.625162 - End:17:52:38.722169, Prediction: [0.5108168721199036].
Epoch: 25, Loss: 0.014762551248713862, Learning rate: [0.00407253125], Start:17:52:38.722169 - End:17:55:37.214380, Prediction: [0.6594749093055725].
Epoch: 26, Loss: 0.013900094818673096, Learning rate: [0.00407253125], Start:17:55:37.215378 - End:17:58:57.428054, Prediction: [0.5768187642097473].
Epoch: 27, Loss: 0.016793472499703057, Learning rate: [0.0038689046874999995], Start:17:58:57.429051 - End:18:03:22.625519, Prediction: [0.6325528025627136].
Epoch: 28, Loss: 0.014318531331373379, Learning rate: [0.0038689046874999995], Start:18:03:22.625519 - End:18:08:01.897336, Prediction: [0.5620580911636353].
Epoch: 29, Loss: 0.015358154024579563, Learning rate: [0.0038689046874999995], Start:18:08:01.897336 - End:18:12:28.050343, Prediction: [0.49208518862724304].
Epoch: 30, Loss: 0.011517236773797776, Learning rate: [0.003675459453124999], Start:18:12:28.051341 - End:18:17:00.393755, Prediction: [0.6347956657409668].
Epoch: 31, Loss: 0.011736210992676206, Learning rate: [0.003675459453124999], Start:18:17:00.394752 - End:18:21:27.843304, Prediction: [0.5907959342002869].
Epoch: 32, Loss: 0.011869065937644337, Learning rate: [0.003675459453124999], Start:18:21:27.844302 - End:18:26:02.397554, Prediction: [0.7354923486709595].
Epoch: 33, Loss: 0.014719754759571515, Learning rate: [0.003491686480468749], Start:18:26:02.398552 - End:18:30:38.774214, Prediction: [0.765790581703186].
Epoch: 34, Loss: 0.013613747621420771, Learning rate: [0.003491686480468749], Start:18:30:38.774214 - End:18:35:05.953562, Prediction: [0.6731529831886292].
Epoch: 35, Loss: 0.013536537695908919, Learning rate: [0.003491686480468749], Start:18:35:05.954559 - End:18:39:18.609096, Prediction: [0.7188572287559509].
Epoch: 36, Loss: 0.013524528295383788, Learning rate: [0.0033171021564453113], Start:18:39:18.609096 - End:18:44:02.412777, Prediction: [0.7322181463241577].
Epoch: 37, Loss: 0.01124071460799314, Learning rate: [0.0033171021564453113], Start:18:44:02.413775 - End:18:48:42.141619, Prediction: [0.6441255211830139].
Epoch: 38, Loss: 0.013541865201841575, Learning rate: [0.0033171021564453113], Start:18:48:42.141619 - End:18:53:20.530036, Prediction: [0.7624759674072266].
Epoch: 39, Loss: 0.01237224573182175, Learning rate: [0.0031512470486230455], Start:18:53:20.531034 - End:18:57:34.790622, Prediction: [0.7627127766609192].
Epoch: 40, Loss: 0.014159576679230668, Learning rate: [0.0031512470486230455], Start:18:57:34.790622 - End:19:01:44.649935, Prediction: [0.7840502858161926].
Epoch: 41, Loss: 0.015896512508625164, Learning rate: [0.0031512470486230455], Start:19:01:44.650932 - End:19:06:13.782955, Prediction: [0.7263832688331604].
Epoch: 42, Loss: 0.013887606202915776, Learning rate: [0.002993684696191893], Start:19:06:13.783953 - End:19:10:10.657997, Prediction: [0.6992801427841187].
Epoch: 43, Loss: 0.01249117695610039, Learning rate: [0.002993684696191893], Start:19:10:10.657997 - End:19:14:14.112090, Prediction: [0.7720397114753723].
Epoch: 44, Loss: 0.012452975547348614, Learning rate: [0.002993684696191893], Start:19:14:14.112090 - End:19:18:17.415586, Prediction: [0.7894614934921265].
Epoch: 45, Loss: 0.014414581168093719, Learning rate: [0.0028440004613822984], Start:19:18:17.416583 - End:19:22:20.541557, Prediction: [0.7454421520233154].
Epoch: 46, Loss: 0.013935704923496814, Learning rate: [0.0028440004613822984], Start:19:22:20.542555 - End:19:26:23.594722, Prediction: [0.8162798285484314].
